                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                0.86404,                0.67907,                 1.1248,                0.83616,                0.70942,                  0.779,                0.56349,                  1.118,                0.89907,                  1.398,               0.006931,               0.006931,               0.006931
                    157,                0.86136,                0.67951,                 1.1238,                0.83503,                0.71072,                0.77882,                0.56284,                 1.1186,                0.89768,                 1.3991,              0.0069112,              0.0069112,              0.0069112
                    158,                0.85976,                0.67543,                 1.1215,                0.84766,                0.69646,                0.77761,                0.56326,                  1.119,                0.89894,                 1.3999,              0.0068914,              0.0068914,              0.0068914
                    159,                0.85968,                0.67759,                 1.1209,                0.84273,                0.70089,                0.77703,                0.56378,                 1.1197,                0.89904,                 1.4008,              0.0068716,              0.0068716,              0.0068716
                    160,                0.84965,                0.66834,                 1.1179,                0.84694,                0.70232,                  0.776,                0.56377,                 1.1192,                0.89885,                  1.401,              0.0068518,              0.0068518,              0.0068518
                    161,                0.85539,                0.67522,                 1.1215,                0.84681,                0.70506,                0.77779,                0.56443,                  1.119,                0.90217,                 1.4016,               0.006832,               0.006832,               0.006832
                    162,                0.85304,                0.66995,                 1.1198,                0.84874,                0.69911,                 0.7775,                0.56288,                 1.1197,                0.90196,                 1.4022,              0.0068122,              0.0068122,              0.0068122
                    163,                0.85665,                0.67163,                 1.1175,                0.84403,                0.70529,                0.77824,                 0.5637,                 1.1202,                0.90288,                 1.4033,              0.0067924,              0.0067924,              0.0067924
                    164,                0.85214,                0.67295,                 1.1169,                0.83399,                0.70761,                0.77752,                0.56289,                 1.1207,                0.90122,                  1.404,              0.0067726,              0.0067726,              0.0067726
                    165,                0.85461,                0.66747,                 1.1186,                0.84178,                0.70264,                0.77693,                0.56329,                 1.1214,                0.90081,                 1.4041,              0.0067528,              0.0067528,              0.0067528
                    166,                0.85189,                0.67002,                 1.1126,                0.84601,                0.69965,                 0.7778,                0.56247,                 1.1211,                0.90008,                 1.4046,               0.006733,               0.006733,               0.006733
                    167,                0.85237,                0.66361,                 1.1187,                0.84847,                0.69923,                0.77868,                0.56214,                 1.1212,                0.89815,                 1.4048,              0.0067132,              0.0067132,              0.0067132
                    168,                0.84518,                0.65996,                 1.1135,                0.84528,                0.70173,                0.77867,                0.56238,                 1.1205,                0.89794,                 1.4051,              0.0066934,              0.0066934,              0.0066934
                    169,                0.84679,                 0.6603,                 1.1129,                0.85373,                0.69628,                0.77947,                0.56199,                   1.12,                0.89614,                 1.4047,              0.0066736,              0.0066736,              0.0066736
                    170,                0.85545,                0.67214,                 1.1173,                0.85181,                0.69666,                0.77869,                0.56283,                 1.1197,                0.89702,                 1.4044,              0.0066538,              0.0066538,              0.0066538
                    171,                0.84485,                0.65997,                 1.1163,                0.84897,                0.69747,                0.77869,                0.56349,                 1.1184,                0.89652,                 1.4033,               0.006634,               0.006634,               0.006634
                    172,                0.85443,                0.66711,                 1.1146,                0.85391,                0.69562,                0.77996,                0.56286,                 1.1189,                0.89764,                 1.4033,              0.0066142,              0.0066142,              0.0066142
                    173,                0.84472,                0.65668,                 1.1103,                0.85894,                0.69406,                0.77911,                0.56338,                 1.1178,                0.89508,                 1.4036,              0.0065944,              0.0065944,              0.0065944
                    174,                0.84331,                0.65827,                  1.111,                0.86054,                0.69427,                0.78043,                0.56388,                 1.1174,                0.89582,                 1.4033,              0.0065746,              0.0065746,              0.0065746
                    175,                 0.8402,                0.65452,                 1.1065,                0.85127,                0.69761,                0.78042,                0.56419,                 1.1173,                0.89608,                 1.4035,              0.0065548,              0.0065548,              0.0065548
                    176,                0.83982,                  0.657,                 1.1079,                 0.8518,                0.69692,                0.78035,                0.56453,                 1.1177,                0.89361,                 1.4047,               0.006535,               0.006535,               0.006535
                    177,                0.83835,                0.65131,                 1.1033,                0.85672,                0.69156,                0.78033,                0.56444,                 1.1188,                0.89515,                  1.406,              0.0065152,              0.0065152,              0.0065152
                    178,                0.84144,                0.65931,                 1.1109,                0.85842,                0.68935,                0.78026,                 0.5642,                 1.1175,                0.89326,                 1.4058,              0.0064954,              0.0064954,              0.0064954
                    179,                0.84433,                0.65766,                 1.1101,                0.85455,                0.69172,                0.78095,                0.56441,                 1.1165,                0.89263,                  1.405,              0.0064756,              0.0064756,              0.0064756
                    180,                0.83487,                0.64746,                 1.1038,                0.84381,                0.70156,                0.78063,                0.56486,                 1.1171,                0.89132,                 1.4058,              0.0064558,              0.0064558,              0.0064558
                    181,                0.84002,                0.65446,                 1.1083,                0.84233,                0.70394,                0.78026,                0.56403,                 1.1167,                0.89063,                 1.4057,               0.006436,               0.006436,               0.006436
                    182,                0.83923,                0.65424,                 1.1082,                0.84894,                0.69843,                0.78086,                0.56374,                 1.1167,                 0.8918,                 1.4064,              0.0064162,              0.0064162,              0.0064162
                    183,                0.83828,                0.65134,                 1.1028,                 0.8491,                0.69826,                0.78069,                0.56386,                 1.1169,                0.89132,                 1.4067,              0.0063964,              0.0063964,              0.0063964
                    184,                0.82915,                0.64331,                 1.1016,                0.84665,                0.69904,                0.78185,                0.56495,                 1.1169,                0.89036,                 1.4071,              0.0063766,              0.0063766,              0.0063766
                    185,                0.83259,                0.64805,                 1.1025,                0.84626,                 0.7005,                0.78187,                0.56505,                 1.1164,                 0.8909,                 1.4073,              0.0063568,              0.0063568,              0.0063568
                    186,                0.83502,                0.65292,                 1.1061,                0.84345,                0.70239,                0.78136,                0.56501,                  1.117,                0.89131,                 1.4081,               0.006337,               0.006337,               0.006337
                    187,                 0.8311,                0.64624,                 1.1015,                0.84175,                 0.7036,                0.78054,                0.56408,                 1.1164,                0.89035,                 1.4084,              0.0063172,              0.0063172,              0.0063172
                    188,                0.82879,                0.64369,                  1.104,                0.84568,                0.70256,                0.78145,                0.56465,                 1.1161,                0.89182,                 1.4076,              0.0062974,              0.0062974,              0.0062974
                    189,                0.82635,                0.64037,                 1.1009,                0.82997,                0.71417,                0.78078,                  0.564,                 1.1158,                0.89202,                 1.4083,              0.0062776,              0.0062776,              0.0062776
                    190,                0.82987,                0.64665,                    1.1,                0.83423,                0.71287,                0.78009,                0.56332,                 1.1163,                0.89205,                 1.4088,              0.0062578,              0.0062578,              0.0062578
                    191,                0.83055,                0.64679,                 1.1067,                0.83509,                0.71416,                0.78105,                0.56334,                 1.1164,                0.89333,                 1.4089,               0.006238,               0.006238,               0.006238
                    192,                0.83019,                0.64329,                 1.1019,                0.83543,                0.71409,                0.78124,                0.56322,                  1.117,                0.89202,                 1.4097,              0.0062182,              0.0062182,              0.0062182
                    193,                0.83119,                0.64679,                 1.1017,                0.83468,                0.71435,                0.78036,                 0.5634,                 1.1167,                0.89193,                   1.41,              0.0061984,              0.0061984,              0.0061984
                    194,                 0.8272,                0.64144,                 1.0997,                0.83331,                 0.7137,                0.77969,                0.56241,                 1.1179,                0.89476,                 1.4112,              0.0061786,              0.0061786,              0.0061786
                    195,                0.82385,                0.63705,                 1.0962,                0.83291,                0.71493,                0.77923,                0.56266,                  1.118,                0.89487,                 1.4112,              0.0061588,              0.0061588,              0.0061588
                    196,                0.82147,                0.63968,                 1.0968,                0.83368,                 0.7147,                0.77872,                0.56258,                 1.1173,                0.89517,                 1.4112,               0.006139,               0.006139,               0.006139
                    197,                0.81845,                 0.6359,                 1.0972,                0.83057,                0.71667,                0.77882,                0.56226,                 1.1167,                 0.8943,                 1.4114,              0.0061192,              0.0061192,              0.0061192
                    198,                0.82832,                0.64476,                 1.1024,                0.83682,                0.71243,                0.77868,                0.56243,                 1.1164,                0.89434,                 1.4118,              0.0060994,              0.0060994,              0.0060994
                    199,                0.81751,                 0.6392,                 1.0995,                0.83601,                0.71533,                0.77862,                0.56235,                 1.1172,                0.89584,                 1.4123,              0.0060796,              0.0060796,              0.0060796
                    200,                 0.8184,                0.63785,                 1.0952,                0.83919,                0.71464,                0.77896,                0.56207,                 1.1173,                0.89608,                 1.4123,              0.0060598,              0.0060598,              0.0060598
                    201,                0.81756,                0.63298,                 1.0918,                0.83688,                0.71475,                0.77911,                0.56242,                 1.1169,                0.89694,                 1.4124,                0.00604,                0.00604,                0.00604
                    202,                0.82329,                0.64112,                 1.1003,                0.83351,                0.71354,                0.77869,                0.56231,                 1.1172,                0.89628,                  1.413,              0.0060202,              0.0060202,              0.0060202
                    203,                0.81804,                 0.6361,                 1.0911,                0.83404,                0.71437,                0.77919,                0.56282,                 1.1173,                0.89631,                 1.4138,              0.0060004,              0.0060004,              0.0060004
                    204,                0.82142,                0.63576,                  1.097,                0.83554,                0.71427,                0.77933,                 0.5632,                 1.1174,                0.89624,                 1.4143,              0.0059806,              0.0059806,              0.0059806
                    205,                0.81754,                0.63619,                 1.0957,                0.83533,                0.71236,                0.77907,                0.56337,                 1.1184,                0.89652,                 1.4152,              0.0059608,              0.0059608,              0.0059608
                    206,                0.81424,                0.63103,                  1.093,                0.83493,                0.71334,                0.77966,                 0.5632,                 1.1183,                0.89714,                 1.4155,               0.005941,               0.005941,               0.005941
                    207,                 0.8045,                0.62738,                 1.0896,                0.83932,                0.71177,                0.77969,                0.56352,                 1.1186,                0.89781,                 1.4162,              0.0059212,              0.0059212,              0.0059212
                    208,                0.81468,                0.63349,                 1.0945,                0.84041,                0.71211,                0.77955,                 0.5635,                 1.1184,                0.89762,                 1.4164,              0.0059014,              0.0059014,              0.0059014
                    209,                0.81218,                0.63015,                 1.0937,                0.83948,                0.71253,                0.77996,                 0.5639,                 1.1179,                0.89731,                 1.4164,              0.0058816,              0.0058816,              0.0058816
                    210,                0.80542,                0.62745,                 1.0881,                0.84027,                0.71305,                0.77954,                0.56377,                 1.1183,                0.89827,                 1.4166,              0.0058618,              0.0058618,              0.0058618
                    211,                0.81396,                0.62872,                 1.0911,                0.83994,                0.71431,                0.77984,                0.56304,                 1.1185,                0.89899,                 1.4174,               0.005842,               0.005842,               0.005842
                    212,                  0.811,                0.62545,                 1.0924,                0.84069,                0.71348,                0.78013,                0.56379,                 1.1183,                0.89886,                 1.4173,              0.0058222,              0.0058222,              0.0058222
                    213,                0.80912,                0.62728,                 1.0887,                0.83896,                0.71444,                0.78008,                0.56352,                 1.1186,                0.89861,                 1.4178,              0.0058024,              0.0058024,              0.0058024
                    214,                0.81318,                0.63046,                 1.0924,                0.83882,                0.71302,                0.77996,                0.56351,                 1.1188,                0.89923,                 1.4182,              0.0057826,              0.0057826,              0.0057826
                    215,                0.80841,                0.62439,                 1.0911,                0.83958,                0.71308,                0.78026,                0.56374,                 1.1189,                0.89923,                 1.4183,              0.0057628,              0.0057628,              0.0057628
                    216,                0.81301,                 0.6313,                 1.0913,                0.84193,                0.70923,                0.77994,                0.56377,                  1.119,                 0.8977,                 1.4188,               0.005743,               0.005743,               0.005743
                    217,                0.80748,                0.62701,                  1.088,                0.83989,                0.71076,                0.77977,                0.56377,                 1.1191,                0.89701,                 1.4193,              0.0057232,              0.0057232,              0.0057232
                    218,                0.80731,                0.62743,                 1.0899,                0.84286,                0.70777,                0.77962,                0.56349,                 1.1188,                0.89733,                 1.4195,              0.0057034,              0.0057034,              0.0057034
                    219,                0.80338,                0.62561,                 1.0877,                0.82975,                0.71897,                0.77983,                0.56411,                 1.1189,                0.89749,                 1.4202,              0.0056836,              0.0056836,              0.0056836
                    220,                0.80245,                0.62184,                  1.087,                0.83099,                0.71924,                0.77989,                0.56392,                 1.1192,                0.89703,                 1.4208,              0.0056638,              0.0056638,              0.0056638
                    221,                0.80681,                0.62654,                 1.0914,                0.83145,                0.72045,                0.77977,                0.56423,                 1.1189,                0.89727,                 1.4207,               0.005644,               0.005644,               0.005644
                    222,                 0.7999,                0.61621,                 1.0833,                0.83271,                0.72333,                0.77966,                0.56443,                 1.1192,                0.89696,                 1.4213,              0.0056242,              0.0056242,              0.0056242
                    223,                0.79648,                0.61162,                 1.0814,                0.83295,                0.72282,                0.77949,                0.56443,                 1.1191,                0.89779,                  1.422,              0.0056044,              0.0056044,              0.0056044
                    224,                0.79791,                0.61313,                 1.0814,                0.83127,                0.72398,                0.77974,                0.56447,                 1.1178,                0.89587,                 1.4209,              0.0055846,              0.0055846,              0.0055846
                    225,                0.80146,                0.62216,                 1.0877,                0.83155,                0.72375,                0.77958,                0.56454,                 1.1179,                0.89629,                 1.4212,              0.0055648,              0.0055648,              0.0055648
                    226,                0.79302,                0.61046,                 1.0791,                0.83193,                0.72271,                0.77961,                0.56453,                 1.1179,                0.89615,                 1.4216,               0.005545,               0.005545,               0.005545
                    227,                0.80338,                 0.6274,                 1.0894,                 0.8298,                0.72229,                0.77984,                0.56461,                 1.1182,                0.89533,                 1.4219,              0.0055252,              0.0055252,              0.0055252
                    228,                0.79544,                0.61752,                 1.0814,                   0.83,                0.72248,                0.78035,                0.56515,                  1.118,                0.89564,                 1.4221,              0.0055054,              0.0055054,              0.0055054
                    229,                0.79229,                0.61182,                 1.0831,                0.82858,                0.72294,                0.78007,                 0.5647,                  1.118,                0.89439,                 1.4223,              0.0054856,              0.0054856,              0.0054856
                    230,                0.80097,                0.61799,                 1.0877,                0.82925,                0.72237,                0.78031,                0.56474,                 1.1181,                0.89407,                 1.4227,              0.0054658,              0.0054658,              0.0054658
                    231,                0.79507,                0.61672,                 1.0832,                0.83059,                0.72072,                0.78048,                0.56474,                 1.1178,                0.89331,                  1.423,               0.005446,               0.005446,               0.005446
                    232,                0.79511,                0.61967,                 1.0843,                0.82997,                0.71991,                0.78044,                0.56491,                  1.118,                0.89428,                 1.4234,              0.0054262,              0.0054262,              0.0054262
                    233,                0.79513,                0.61503,                 1.0823,                0.83123,                0.71915,                0.78048,                  0.565,                 1.1182,                0.89448,                 1.4241,              0.0054064,              0.0054064,              0.0054064
                    234,                0.78849,                0.60901,                 1.0778,                0.83203,                0.71936,                0.78042,                0.56529,                 1.1181,                0.89449,                 1.4243,              0.0053866,              0.0053866,              0.0053866
                    235,                0.79452,                 0.6109,                 1.0806,                0.83104,                0.72052,                0.78092,                0.56484,                 1.1179,                 0.8942,                 1.4245,              0.0053668,              0.0053668,              0.0053668
